country,quantile,unconditional_quantile_pct,term,coef_pp,se_pp,t,n,n_clusters
Nigeria,0.5,1.8821704332980846,Any child under 5,1.13208432926611,0.2499830942966653,4.528643556682352,4685,511
Nigeria,0.5,1.8821704332980846,Household size,0.12623016125512895,0.04048846055187837,3.1176824096186286,4685,511
Nigeria,0.75,6.714572083554287,(intercept),3.2117689654318493,1.8068869771712681,1.7775151440074923,4685,511
Nigeria,0.75,6.714572083554287,Below the poverty line,2.9141093547285655,0.8598193917450397,3.389211016530178,4685,511
Nigeria,0.75,6.714572083554287,1-2x the poverty line,1.9901920511828153,0.7234736441876739,2.7508839709253405,4685,511
Nigeria,0.75,6.714572083554287,Uninsured any part of the year,0.9523636287581905,1.6657600193556783,0.5717291912952551,4685,511
Nigeria,0.75,6.714572083554287,Any chronic condition,8.683616924223813,1.0647735246095071,8.15536517721778,4685,511
Nigeria,0.75,6.714572083554287,Any member aged 60+,2.179150633580637,0.6363309119565282,3.424555671640086,4685,511
Nigeria,0.75,6.714572083554287,Any child under 5,1.8375145208161234,0.7140173849627649,2.573487088009695,4685,511
Nigeria,0.75,6.714572083554287,Household size,-0.30240277637879553,0.08988882653304911,-3.364186496167153,4685,511
Nigeria,0.9,16.310605528879204,(intercept),11.822092153270702,5.552326661856096,2.1292140886607482,4685,511
Nigeria,0.9,16.310605528879204,Below the poverty line,7.68127919389298,1.7068343977646778,4.500307237745276,4685,511
Nigeria,0.9,16.310605528879204,1-2x the poverty line,5.107891667987466,1.5867835467823093,3.2190223287513184,4685,511
Nigeria,0.9,16.310605528879204,Uninsured any part of the year,-1.7228666316553287,5.625958890087368,-0.3062351974684574,4685,511
Nigeria,0.9,16.310605528879204,Any chronic condition,20.201874494508655,3.2079126497508534,6.297513897729621,4685,511
Nigeria,0.9,16.310605528879204,Any member aged 60+,5.274848049429676,1.374937591305095,3.8364272551620133,4685,511
Nigeria,0.9,16.310605528879204,Any child under 5,1.9516085352743295,1.5691035882160944,1.2437729095330812,4685,511
Nigeria,0.9,16.310605528879204,Household size,-0.6871411479367193,0.20939810653702057,-3.281506023624125,4685,511
Nigeria,0.95,25.007673992501246,(intercept),29.746041344197494,13.066915023408118,2.276439487890625,4685,511
Nigeria,0.95,25.007673992501246,Below the poverty line,10.68059770025109,2.9439379680166917,3.6279968587267906,4685,511
Nigeria,0.95,25.007673992501246,1-2x the poverty line,6.996150641297783,2.5713980220462656,2.7207575728515145,4685,511
Nigeria,0.95,25.007673992501246,Uninsured any part of the year,-13.110367224344621,13.416868709711553,-0.9771555128101481,4685,511
Nigeria,0.95,25.007673992501246,Any chronic condition,32.50222360544316,6.296873985405411,5.16164428266712,4685,511
Nigeria,0.95,25.007673992501246,Any member aged 60+,6.65192676064334,2.445685534811003,2.71986184076498,4685,511
Nigeria,0.95,25.007673992501246,Any child under 5,0.651404275813855,2.7260191369327917,0.23895807149277357,4685,511
Nigeria,0.95,25.007673992501246,Household size,-0.9799707966594129,0.3449782340767202,-2.8406742798778306,4685,511
