basis,us_group,nigeria_reference,reference_quantile,reference_burden_pct,us_parity_percentile,us_share_above_pct,n
published,Elderly member,Nigerian informal households,0.5,1.8701005056119355,49.551452008257186,50.44854799174282,22606
published,Elderly member,Nigerian informal households,0.75,6.87773651109207,81.77458499673887,18.22541500326115,22606
published,Elderly member,Nigerian informal households,0.9,16.621607430041546,93.73705678064461,6.262943219355415,22606
net,All US families,All Nigerian households,0.5,1.9182756858544683,63.65531846720025,36.34468153279974,61447
net,All US families,All Nigerian households,0.75,7.197881457064575,88.97390248769035,11.026097512309647,61447
net,All US families,All Nigerian households,0.9,19.489454611949313,96.9590822130687,3.0409177869313004,61447
net,All US families,Nigerian informal households,0.5,1.9057397544828603,63.48419091451033,36.51580908548967,61447
net,All US families,Nigerian informal households,0.75,7.385705903727924,89.30742506073331,10.6925749392667,61447
net,All US families,Nigerian informal households,0.9,19.93514980367246,97.04434137221753,2.9556586277824715,61447
net,Insured all year,All Nigerian households,0.5,1.9182756858544683,62.59008899468902,37.40991100531099,55173
net,Insured all year,All Nigerian households,0.75,7.197881457064575,88.81341890586569,11.186581094134308,55173
net,Insured all year,All Nigerian households,0.9,19.489454611949313,97.00138904139767,2.9986109586023266,55173
net,Insured all year,Nigerian informal households,0.5,1.9057397544828603,62.41315463860037,37.58684536139964,55173
net,Insured all year,Nigerian informal households,0.75,7.385705903727924,89.15035572858642,10.849644271413576,55173
net,Insured all year,Nigerian informal households,0.9,19.93514980367246,97.08305477251852,2.9169452274814622,55173
net,Partly uninsured,All Nigerian households,0.5,1.9182756858544683,72.19769298032888,27.802307019671137,4282
net,Partly uninsured,All Nigerian households,0.75,7.197881457064575,90.48082151371646,9.519178486283534,4282
net,Partly uninsured,All Nigerian households,0.9,19.489454611949313,96.90031745633092,3.099682543669089,4282
net,Partly uninsured,Nigerian informal households,0.5,1.9057397544828603,72.06015827115303,27.93984172884697,4282
net,Partly uninsured,Nigerian informal households,0.75,7.385705903727924,90.84095805776633,9.159041942233669,4282
net,Partly uninsured,Nigerian informal households,0.9,19.93514980367246,96.9701001392011,3.0298998607989116,4282
net,Uninsured all year,All Nigerian households,0.5,1.9182756858544683,75.22954513970272,24.77045486029727,1992
net,Uninsured all year,All Nigerian households,0.75,7.197881457064575,90.27775902077994,9.722240979220079,1992
net,Uninsured all year,All Nigerian households,0.9,19.489454611949313,95.93843558112634,4.061564418873666,1992
net,Uninsured all year,Nigerian informal households,0.5,1.9057397544828603,75.147456127459,24.852543872541,1992
net,Uninsured all year,Nigerian informal households,0.75,7.385705903727924,90.46620586628424,9.533794133715753,1992
net,Uninsured all year,Nigerian informal households,0.9,19.93514980367246,96.15131777461484,3.848682225385156,1992
net,Poor or near poor,All Nigerian households,0.5,1.9182756858544683,59.040655324372956,40.95934467562704,11735
net,Poor or near poor,All Nigerian households,0.75,7.197881457064575,79.19623110718905,20.803768892810943,11735
net,Poor or near poor,All Nigerian households,0.9,19.489454611949313,90.63337731751196,9.366622682488043,11735
net,Poor or near poor,Nigerian informal households,0.5,1.9057397544828603,58.98060824372461,41.01939175627539,11735
net,Poor or near poor,Nigerian informal households,0.75,7.385705903727924,79.47843531881944,20.52156468118056,11735
net,Poor or near poor,Nigerian informal households,0.9,19.93514980367246,90.8673152845212,9.132684715478813,11735
net,Chronic condition,All Nigerian households,0.5,1.9182756858544683,59.14937301022771,40.850626989772294,48595
net,Chronic condition,All Nigerian households,0.75,7.197881457064575,87.37487581259315,12.625124187406852,48595
net,Chronic condition,All Nigerian households,0.9,19.489454611949313,96.47722845705846,3.5227715429415336,48595
net,Chronic condition,Nigerian informal households,0.5,1.9057397544828603,58.95838413875043,41.04161586124956,48595
net,Chronic condition,Nigerian informal households,0.75,7.385705903727924,87.75566881674503,12.244331183254975,48595
net,Chronic condition,Nigerian informal households,0.9,19.93514980367246,96.57247205674825,3.427527943251744,48595
net,Elderly member,All Nigerian households,0.5,1.9182756858544683,50.1882797351132,49.811720264886816,22606
net,Elderly member,All Nigerian households,0.75,7.197881457064575,82.58537834406407,17.414621655935957,22606
net,Elderly member,All Nigerian households,0.9,19.489454611949313,94.98122934222728,5.01877065777272,22606
net,Elderly member,Nigerian informal households,0.5,1.9057397544828603,50.08933068260901,49.910669317391,22606
net,Elderly member,Nigerian informal households,0.75,7.385705903727924,83.04008687945338,16.95991312054662,22606
net,Elderly member,Nigerian informal households,0.9,19.93514980367246,95.11847587390515,4.881524126094862,22606
